NAME,USD/PLN
ISIN,USDPLN
2005-11-16,3.39150000
2005-11-17,3.40750000
2005-11-18,3.40550000
2005-11-21,3.36690000
2005-11-22,3.39540000
2005-11-23,3.35010000
2005-11-24,3.33030000
2005-11-25,3.33460000
2005-11-28,3.34260000
2005-11-29,3.29570000
2005-11-30,3.31650000
2005-12-01,3.33660000
2005-12-02,3.31380000
2005-12-05,3.29790000
2005-12-06,3.25550000
2005-12-07,3.27420000
2005-12-08,3.28280000
2005-12-09,3.28170000
2005-12-12,3.24350000
2005-12-13,3.20600000
2005-12-14,3.18650000
2005-12-15,3.19600000
2005-12-16,3.22570000
2005-12-19,3.22150000
2005-12-20,3.21010000
2005-12-21,3.22450000
2005-12-22,3.23930000
2005-12-23,3.23250000
2005-12-27,3.23080000
2005-12-28,3.22620000
2005-12-29,3.25700000
2005-12-30,3.26130000
2006-01-02,3.25820000
2006-01-03,3.24880000
2006-01-04,3.18580000
2006-01-05,3.14160000
2006-01-06,3.15070000
2006-01-09,3.12280000
2006-01-10,3.12800000
2006-01-11,3.13530000
2006-01-12,3.12290000
2006-01-13,3.15420000
2006-01-16,3.13210000
2006-01-17,3.15210000
2006-01-18,3.18870000
2006-01-19,3.17720000
2006-01-20,3.18680000
2006-01-23,3.13970000
2006-01-24,3.13330000
2006-01-25,3.09500000
2006-01-26,3.12530000
2006-01-27,3.13790000
2006-01-30,3.15590000
2006-01-31,3.16300000
2006-02-01,3.14090000
2006-02-02,3.17200000
2006-02-03,3.17200000
2006-02-06,3.18380000
2006-02-07,3.18420000
2006-02-08,3.19490000
2006-02-09,3.18960000
2006-02-10,3.16380000
2006-02-13,3.18930000
2006-02-14,3.18680000
2006-02-15,3.17680000
2006-02-16,3.17000000
2006-02-17,3.16690000
2006-02-20,3.14560000
2006-02-21,3.17010000
2006-02-22,3.19910000
2006-02-23,3.17150000
2006-02-24,3.18070000
2006-02-27,3.18030000
2006-02-28,3.17680000
2006-03-01,3.16270000
2006-03-02,3.15800000
2006-03-03,3.16700000
2006-03-06,3.16600000
2006-03-07,3.23470000
2006-03-08,3.24530000
2006-03-09,3.24780000
